,wl,Paint Chip 1 - Unicorn Blue,Paint Chip 2 - Rich Plum,Paint Chip 3 - Nocturnal Sea,Paint Chip 4 - Calypso Ruffel,Paint Chip 5 - Hyacynth,Paint Chip 6 - Sun Valley,Paint Chip 7 - Continental Blue,Paint Chip 8 - Carnival Red,Paint Chip 9 - Bohemian Blue,Paint Chip 10 - Fire Engine Red,Paint Chip 11 Lucky Irish,Paint Chip 12 Roanoke Red,Paint Chip 13 Paris Night,Paint Chip 14 Nectarine,Paint Chip 15 Ecudor,Paint Chip 16 Wild Mint,Paint Chip 17 Primrose,Paint Chip 18 Oakheart,Paint Chip 19 Slate Grey
68,448,0.36014,0.26014,0.090285,0.2584,0.38577,0.11342,0.37224,0.099288,0.18972,0.065374,0.082384,0.058043,0.1337,0.081139,0.07605,0.06331,0.07452,0.077722,0.17822
69,449,0.364943720703,0.258824082031,0.0909375982666,0.256625825195,0.383511561279,0.113220714111,0.377675883789,0.0980193216553,0.189982888184,0.0650279970703,0.0831742786865,0.0580468936768,0.133266989746,0.0811561048584,0.0759745300293,0.0636007919922,0.0745837189941,0.0779773399658,0.178424702148
70,450,0.369901484375,0.2575184375,0.0916153242188,0.25513109375,0.381186835937,0.112912070313,0.382749765625,0.0967090351562,0.1901165625,0.064744375,0.0840071132812,0.0580236523437,0.132803125,0.0809966992187,0.07585065625,0.063914328125,0.074633390625,0.0781626757813,0.1785978125
71,451,0.374941308594,0.256243925781,0.0923193172607,0.253740170898,0.378864449463,0.112681654053,0.387470493164,0.0954428858643,0.190139260254,0.0645093701172,0.0848555245361,0.0579905238037,0.132320197754,0.0807834044189,0.075745692627,0.0642593818359,0.0746569001465,0.0783071820068,0.178729399414
72,452,0.38,0.25502,0.093051,0.25227,0.37661,0.11271,0.39186,0.094305,0.19007,0.064305,0.085695,0.057966,0.13183,0.080644,0.075729,0.064644,0.074644,0.078441,0.17881
73,453,0.385071343994,0.253846177979,0.0938095264893,0.250716395264,0.374428005371,0.113009630127,0.395902539062,0.0932992607422,0.18991460083,0.0641323487549,0.08652634729,0.0579500496826,0.131333792725,0.0805779807129,0.0758018525391,0.0650712591553,0.0745976704102,0.0785684870605,0.17884149292
74,454,0.390159648438,0.252719414062,0.0945941757812,0.249081367188,0.37231578125,0.113576367187,0.399590234375,0.092422453125,0.189678554688,0.0639907695312,0.0873541289062,0.0579424179687,0.130832070312,0.08058015625,0.0759621796875,0.0655432617187,0.0745231953125,0.078692859375,0.178827148437
75,455,0.395413221436,0.251613201904,0.0954014017334,0.24746026001,0.37023201416,0.114182728271,0.402992568359,0.0916108427734,0.189365843506,0.063840067749,0.0882210672607,0.057934791626,0.130319434814,0.0805837185059,0.0761881777344,0.0660552657471,0.0744579008789,0.0788131281738,0.178768775635
76,456,0.40098,0.2505,0.096228,0.24595,0.36813,0.1146,0.40618,0.090797,0.18898,0.063642,0.089171,0.057919,0.12979,0.08052,0.076455,0.066602,0.074439,0.078927,0.17867
77,457,0.406859023437,0.249374752197,0.0970720205078,0.244538953857,0.366004331055,0.114823065186,0.409160245361,0.0899778684082,0.188527442627,0.0633927717285,0.0902106589355,0.0578955163574,0.1292431604,0.0803951875,0.0767612147217,0.0671848774414,0.074476729126,0.0790372275391,0.17853401001
