,wl,Standard brown cardboard,Red file folder
254,634,0.36272046875,0.673631445312
255,635,0.364073720703,0.677064456787
256,636,0.36537,0.68027
257,637,0.366608608398,0.683262503662
258,638,0.3677925,0.686057070313
259,639,0.369008344727,0.688746895752
260,640,0.37034,0.69142
261,641,0.371790292969,0.694084858398
262,642,0.37335421875,0.69674046875
263,643,0.3749390625,0.69927121582
264,644,0.37645,0.70156
265,645,0.37788260498,0.703605043945
266,646,0.379237265625,0.70541171875
267,647,0.380552443848,0.707041342773
268,648,0.38187,0.70856
269,649,0.383188894043,0.709966582031
270,650,0.384508046875,0.71125875
271,651,0.385807971191,0.712444902344
272,652,0.38707,0.71353
273,653,0.38829644165,0.714520595703
274,654,0.389491445312,0.7154209375
275,655,0.390698504639,0.716187880859
276,656,0.39196,0.71678
277,657,0.393277919922,0.717202431641
278,658,0.394650390625,0.7174653125
279,659,0.396045722656,0.717604560547
280,660,0.39743,0.71766
281,661,0.398802109375,0.717641553955
282,662,0.400161640625,0.717559882812
283,663,0.401502392578,0.717453822021
284,664,0.40282,0.71736
285,665,0.40411125,0.717290682373
286,666,0.405374453125,0.717254414063
287,667,0.406625400391,0.717239088135
288,668,0.40788,0.71723
289,669,0.409140311279,0.717232955322
290,670,0.410407695312,0.717253164063
291,671,0.41166354126,0.717286658936
292,672,0.41289,0.71733
293,673,0.41408560791,0.717389080811
294,674,0.415250234375,0.717471289063
295,675,0.416427780762,0.717569595947
296,676,0.41766,0.71768
297,677,0.418948458252,0.717808105469
298,678,0.420290507812,0.7179621875
299,679,0.4216171521,0.718208183594
300,680,0.42286,0.71861
301,681,0.42401642334,0.719173692627
302,682,0.42508890625,0.719899257812
303,683,0.426131408691,0.720751292725
304,684,0.4272,0.72169
305,685,0.42829638916,0.722717269287
306,686,0.42942015625,0.723834882813
307,687,0.430549177246,0.725009122314
308,688,0.43166,0.72621
309,689,0.432752207031,0.727426203613
310,690,0.433825546875,0.728649765625
311,691,0.434909111328,0.72997470459
312,692,0.43603,0.73149
313,693,0.437189228516,0.733194185791
314,694,0.438384921875,0.735076132812
315,695,0.439547558594,0.736974705811
316,696,0.44061,0.73873
317,697,0.441569489746,0.740331798096
318,698,0.44242953125,0.741781523438
319,699,0.44326951416,0.743189095459
320,700,0.44417,0.74467
321,701,0.445136407471,0.746224615479
322,702,0.446169960938,0.747849726563
323,703,0.447218822021,0.749503084717
324,704,0.44823,0.75114
325,705,0.449203676758,0.752759562988
326,706,0.45014234375,0.75436125
327,707,0.451107788086,0.756000749512
328,708,0.45216,0.75773
329,709,0.453299196777,0.759547279053
330,710,0.454520234375,0.761444726563
331,711,0.455743723145,0.763306827393
332,712,0.45689,0.76502
333,713,0.457954700928,0.766576289063
334,714,0.458938554687,0.76797671875
335,715,0.459892540283,0.769312910156
336,716,0.46087,0.77068
337,717,0.461873895264,0.772081052246
338,718,0.462905976562,0.773515703125
339,719,0.463924664307,0.77493270752
340,720,0.46489,0.77628
341,721,0.465801690674,0.777558798828
342,722,0.466662695313,0.7787728125
343,723,0.46756833374,0.779993505859
344,724,0.46861,0.78129
345,725,0.469791566162,0.782662930908
346,726,0.471108007812,0.784106445313
347,727,0.472435606689,0.785534515381
348,728,0.47365,0.78686
349,729,0.474746447754,0.78807850708
350,730,0.475728203125,0.789190742187
351,731,0.476672312012,0.790236741943
352,732,0.47766,0.79126
353,733,0.478692431641,0.792258874512
354,734,0.47976859375,0.793231328125
355,735,0.480858251953,0.794170822754
356,736,0.48193,0.79507
357,737,0.482983352051,0.795933991699
358,738,0.484018359375,0.796768359375
359,739,0.485090114746,0.797568146973
360,740,0.48625,0.79833
361,741,0.487498276367,0.799051481934
362,742,0.48882921875,0.799730703125
363,743,0.490135141602,0.800428293457
364,744,0.49131,0.8012
365,745,0.492349396973,0.802047113037
366,746,0.493257578125,0.802963710937
367,747,0.494113347168,0.80383319458
368,748,0.495,0.80454
369,749,0.495919816895,0.80508105835
370,750,0.496872734375,0.805462539062
371,751,0.497852634277,0.805748555908
372,752,0.49885,0.80601
373,753,0.49986706665,0.806244257812
374,754,0.500903789062,0.80644796875
375,755,0.501964266357,0.806682128906
376,756,0.50305,0.807
377,757,0.504158009033,0.807410703125
378,758,0.505283242187,0.80791484375
379,759,0.50637645874,0.808370917969
