,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
160,540,0.24547,0.093508,0.14892,0.45251,0.046402,0.30441,0.57248
161,541,0.241206015625,0.08904943396,0.148438822021,0.447687386475,0.0461420766602,0.29930315918,0.574264063721
162,542,0.236751875,0.0845852851562,0.147875351563,0.442764882813,0.04592471875,0.29400328125,0.576052851563
163,543,0.232152578125,0.0801900079346,0.147262003174,0.437808692627,0.0456669506836,0.288600063477,0.57777793335
164,544,0.22746,0.075941,0.14663,0.43289,0.045287,0.28319,0.57937
165,545,0.222672937012,0.071849604126,0.145979941406,0.428015670166,0.0447806617432,0.277787352295,0.580819110107
166,546,0.217791796875,0.0679243007813,0.14530984375,0.423191289063,0.0441500507813,0.272405117188,0.582119257813
167,547,0.212845178223,0.0641856678467,0.144554257813,0.418462772217,0.0434681883545,0.267109693604,0.583271109619
168,548,0.20786,0.060649,0.14365,0.41387,0.04281,0.26196,0.58428
169,549,0.202848588867,0.0573235098877,0.142597980957,0.409421397705,0.0421794951172,0.256972506104,0.585141264648
170,550,0.19782125,0.0542135898437,0.141405546875,0.405118242187,0.0415775078125,0.252154492188,0.5858534375
171,551,0.192742895508,0.0512861185303,0.140137087402,0.400896585693,0.0409525292969,0.247435164795,0.586436040039
172,552,0.18758,0.048506,0.13886,0.39669,0.040253,0.24274,0.58691
173,553,0.182344355469,0.0458712479248,0.137581894531,0.392495661621,0.0394838074951,0.238069073486,0.587281607666
174,554,0.17705234375,0.0433806679687,0.1363084375,0.388313515625,0.0386536445313,0.233424882813,0.587557382812
175,555,0.171756015625,0.0410377496338,0.135036347656,0.384151262207,0.0378184293213,0.22882255249,0.587736815186
176,556,0.16651,0.038847,0.13376,0.38002,0.037035,0.22428,0.58782
177,557,0.161329512939,0.0368038452148,0.132493668213,0.375916196289,0.0363112406006,0.21979201416,0.587821394043
178,558,0.156228789062,0.0349038359375,0.131251601562,0.37183796875,0.0356524492188,0.21535375,0.5877575
179,559,0.151231820068,0.0331475249023,0.130015438232,0.36780331543,0.0350293311768,0.21098157959,0.587626340332
180,560,0.14636,0.031535,0.12877,0.36383,0.034412,0.20669,0.58743
181,561,0.141633387451,0.0300627504883,0.127535015869,0.35992725708,0.0338128336182,0.202484207764,0.587191778564
